PONNOT,SUB,CTMT
118082,SEAUA,1_SEAUA_1
68429,SECON,1_SECON_1
48689,SEITI,1_SEITI_1
39536,SESAQ,1_SESAQ_1
17749,SETMG,1_SETMG_1
118079,SEAUA,2_SEAUA_1
68430,SECON,2_SECON_1
2918,SEEST,2_SEEST_1
54786,SEITI,2_SEITI_1
44304,SESAQ,2_SESAQ_1
19980,SETMG,2_SETMG_1
118080,SEAUA,3_SEAUA_1
71128,SECON,3_SECON_1
7640,SEEST,3_SEEST_1
57158,SEITI,3_SEITI_1
47972,SESAQ,3_SESAQ_1
30823,SETMG,3_SETMG_1
118059,SEAUA,4_SEAUA_1
10170,SEEST,4_SEEST_1
59542,SEITI,4_SEITI_1
12988,SEEST,5_SEEST_1
13867,SEEST,6_SEEST_1
150,SEEST,7_SEEST_1
